Actual P(h),Expected P(h),c_1,c_2,A
"16.0*h**2 - 112.0*h + 296.0 for k >= 8,4,8,""[(0, 0), (0, 1), (1, 1), (0, 8), (4, 2)]"""
"22.5*h**2 - 202.5*h + 645.0 for k >= 10,5,9,""[(0, 0), (1, 0), (1, 1), (5, 5), (9, 0)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (2, 1), (3, 2), (5, 0), (9, 7)]"""
"7.0*h**2 - 28.0*h + 56.0 for k >= 5,2,7,""[(0, 0), (1, 1), (2, 1), (2, 2), (9, 2)]"""
"6.0*h**2 - 18.0*h + 31.0 for k >= 4,2,6,""[(0, 0), (2, 1), (3, 2), (3, 0), (6, 4)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 1), (2, 1), (1, 2), (3, 0)]"""
"12.0*h**2 - 60.0*h + 122.0 for k >= 6,4,6,""[(0, 0), (1, 1), (2, 1), (6, 6), (8, 4)]"""
"9.0*h**2 - 36.0*h + 66.0 for k >= 5,3,6,""[(0, 0), (2, 1), (3, 2), (3, 4), (6, 2)]"""
"20.0*h**2 - 160.0*h + 460.0 for k >= 9,5,8,""[(0, 0), (1, 1), (2, 1), (2, 5), (8, 0)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (3, 2), (5, 3), (7, 7), (8, 3)]"""
"10.5*h**2 - 52.5*h + 112.0 for k >= 6,3,7,""[(0, 0), (1, 0), (1, 1), (3, 3), (7, 0)]"""
"10.0*h**2 - 40.0*h + 70.0 for k >= 5,4,5,""[(0, 0), (1, 0), (1, 1), (3, 5), (4, 0)]"""
"10.0*h**2 - 70.0*h + 205.0 for k >= 8,2,10,""[(0, 0), (1, 1), (3, 2), (1, 4), (6, 4)]"""
"7.5*h**2 - 22.5*h + 35.0 for k >= 4,3,5,""[(0, 0), (3, 2), (5, 3), (5, 2), (5, 5)]"""
"10.5*h**2 - 52.5*h + 112.0 for k >= 6,3,7,""[(0, 0), (2, 1), (3, 2), (3, 5), (6, 3)]"""
"7.5*h**2 - 22.5*h + 35.0 for k >= 4,3,5,""[(0, 0), (1, 1), (2, 1), (1, 3), (3, 9)]"""
"5.0*h**2 - 10.0*h + 15.0 for k >= 3,2,5,""[(0, 1), (1, 0), (1, 1), (2, 4), (4, 7)]"""
"4.0*h**2 - 4.0*h + 6.0 for k >= 2,2,4,""[(0, 1), (1, 0), (1, 1), (4, 1), (8, 1)]"""
"8.0*h**2 - 40.0*h + 92.0 for k >= 6,2,8,""[(0, 2), (1, 0), (1, 1), (5, 0), (9, 0)]"""
"12.0*h**2 - 60.0*h + 122.0 for k >= 6,4,6,""[(0, 0), (2, 1), (3, 2), (2, 4), (8, 4)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 1), (2, 1), (2, 2), (3, 0)]"""
"16.0*h**2 - 208.0*h + 1016.0 for k >= 14,2,16,""[(0, 0), (1, 1), (2, 1), (0, 8), (4, 2)]"""
"32.0*h**2 - 352.0*h + 1296.0 for k >= 12,8,8,""[(0, 0), (1, 0), (1, 1), (4, 8), (8, 0)]"""
"24.5*h**2 - 220.5*h + 686.0 for k >= 10,7,7,""[(0, 0), (1, 0), (2, 1), (7, 0), (9, 7)]"""
"28.0*h**2 - 280.0*h + 952.0 for k >= 11,7,8,""[(0, 0), (1, 1), (2, 1), (6, 7), (8, 0)]"""
