Actual P(h),Expected P(h),c_1,c_2,A
"21.0*h**2 - 174.0*h + 509.0 for k >= 9,22.5*h**2 - 202.5*h + 645.0,5,9,""[(0, 0), (1, 1), (2, 1), (0, 7), (6, 1)]"""
"10.0*h**2 - 46.0*h + 91.0 for k >= 5,10.5*h**2 - 52.5*h + 112.0,3,7,""[(0, 0), (3, 2), (5, 3), (4, 4), (8, 3)]"""
"22.5*h**2 - 208.5*h + 537.0 for k >= 19,26.0*h**2 - 312.0*h + 1326.0,4,13,""[(0, 0), (3, 2), (5, 3), (0, 5), (9, 3)]"""
"10.0*h**2 - 38.0*h + 61.0 for k >= 4,12.0*h**2 - 60.0*h + 122.0,4,6,""[(0, 0), (1, 1), (2, 1), (2, 4), (6, 2)]"""
"19.0*h**2 - 124.0*h + 256.0 for k >= 10,24.5*h**2 - 220.5*h + 686.0,7,7,""[(0, 0), (1, 1), (3, 2), (4, 6), (9, 4)]"""
"2.5*h**2 + 3.5*h - 3.0 for k >= 2,4.0*h**2 - 4.0*h + 6.0,2,4,""[(0, 0), (1, 0), (1, 1), (4, 0), (5, 0)]"""
"5.5*h**2 + 1.5*h - 39.0 for k >= 7,7.5*h**2 - 22.5*h + 35.0,3,5,""[(0, 1), (1, 0), (1, 1), (5, 5), (6, 6)]"""
"7.5*h**2 - 10.5*h - 19.0 for k >= 7,10.0*h**2 - 40.0*h + 70.0,4,5,""[(0, 0), (1, 1), (3, 2), (0, 3), (0, 5)]"""
"3.5*h**2 - 1.5*h + 3.0 for k >= 1,4.0*h**2 - 4.0*h + 6.0,2,4,""[(0, 0), (0, 1), (1, 1), (2, 1), (7, 3)]"""
"22.5*h**2 - 182.5*h + 495.0 for k >= 11,27.0*h**2 - 270.0*h + 927.0,6,9,""[(0, 0), (1, 1), (2, 1), (3, 9), (5, 0)]"""
"20.0*h**2 - 145.0*h + 355.0 for k >= 10,24.0*h**2 - 216.0*h + 676.0,6,8,""[(0, 0), (1, 0), (2, 1), (3, 5), (8, 0)]"""
"3.5*h**2 + 1.5*h - 3.0 for k >= 3,4.5*h**2 - 4.5*h + 6.0,3,3,""[(0, 0), (1, 0), (2, 1), (6, 5), (8, 7)]"""
"5.0*h**2 - 2.0*h - 7.0 for k >= 4,7.5*h**2 - 22.5*h + 35.0,3,5,""[(0, 0), (1, 1), (2, 1), (2, 0), (4, 5)]"""
"24.0*h**2 - 204.0*h + 580.0 for k >= 11,28.0*h**2 - 280.0*h + 952.0,7,8,""[(0, 0), (1, 1), (2, 1), (6, 0), (8, 8)]"""
"28.0*h**2 - 278.0*h + 903.0 for k >= 13,33.0*h**2 - 396.0*h + 1606.0,6,11,""[(0, 0), (2, 1), (3, 2), (7, 0), (7, 8)]"""
"18.5*h**2 - 124.5*h + 292.0 for k >= 7,24.5*h**2 - 220.5*h + 686.0,7,7,""[(0, 0), (2, 1), (3, 2), (3, 8), (5, 1)]"""
"3.5*h**2 - 1.5*h + 3.0 for k >= 1,4.0*h**2 - 4.0*h + 6.0,2,4,""[(0, 2), (1, 0), (1, 1), (2, 2), (3, 3)]"""
"6.0*h**2 - 2.0*h - 21.0 for k >= 5,10.0*h**2 - 40.0*h + 70.0,4,5,""[(0, 0), (1, 0), (2, 1), (0, 2), (6, 0)]"""
"34.5*h**2 - 400.5*h + 1526.0 for k >= 12,38.5*h**2 - 500.5*h + 2156.0,7,11,""[(0, 0), (1, 1), (2, 1), (6, 9), (9, 2)]"""
"6.5*h**2 - 14.5*h + 19.0 for k >= 3,7.5*h**2 - 22.5*h + 35.0,3,5,""[(0, 1), (1, 0), (1, 1), (2, 2), (8, 6)]"""
"22.0*h**2 - 164.0*h + 384.0 for k >= 11,28.0*h**2 - 280.0*h + 952.0,7,8,""[(0, 0), (1, 1), (3, 2), (7, 8), (9, 4)]"""
"8.0*h**2 - 26.0*h + 41.0 for k >= 4,9.0*h**2 - 36.0*h + 66.0,3,6,""[(0, 0), (1, 1), (2, 1), (1, 2), (2, 9)]"""
"12.0*h**2 - 48.0*h + 56.0 for k >= 8,15.0*h**2 - 90.0*h + 205.0,5,6,""[(0, 0), (1, 1), (3, 2), (5, 2), (8, 8)]"""
"7.0*h**2 - 8.0*h - 16.0 for k >= 6,10.0*h**2 - 40.0*h + 70.0,4,5,""[(0, 1), (1, 0), (1, 1), (4, 3), (8, 7)]"""
"5.0*h**2 - 6.0*h + 7.0 for k >= 2,6.0*h**2 - 12.0*h + 16.0,3,4,""[(0, 0), (1, 1), (2, 1), (0, 2), (5, 0)]"""
"11.0*h**2 - 48.0*h + 86.0 for k >= 5,12.0*h**2 - 60.0*h + 122.0,4,6,""[(0, 0), (1, 1), (2, 1), (4, 5), (6, 2)]"""
"38.5*h**2 - 530.5*h + 2441.0 for k >= 14,39.0*h**2 - 546.0*h + 2561.0,6,13,""[(0, 0), (2, 1), (3, 2), (1, 9), (9, 4)]"""
"11.0*h**2 - 58.0*h + 127.0 for k >= 6,12.0*h**2 - 72.0*h + 176.0,3,8,""[(0, 0), (1, 1), (2, 1), (2, 6), (4, 1)]"""
"8.5*h**2 - 46.5*h + 113.0 for k >= 6,9.0*h**2 - 54.0*h + 141.0,2,9,""[(0, 3), (1, 2), (2, 0), (2, 1), (7, 1)]"""
"8.0*h**2 - 26.0*h + 41.0 for k >= 4,9.0*h**2 - 36.0*h + 66.0,3,6,""[(0, 0), (1, 1), (3, 2), (0, 2), (8, 5)]"""
"3.0*h**2 + 2.0*h - 1.0 for k >= 2,4.5*h**2 - 4.5*h + 6.0,3,3,""[(0, 0), (1, 0), (1, 1), (4, 0), (6, 0)]"""
"29.0*h**2 - 304.0*h + 1072.0 for k >= 11,33.0*h**2 - 396.0*h + 1606.0,6,11,""[(0, 0), (1, 1), (2, 1), (7, 9), (8, 2)]"""
"34.5*h**2 - 391.5*h + 1250.0 for k >= 18,42.0*h**2 - 630.0*h + 3157.0,6,14,""[(0, 0), (1, 1), (3, 2), (3, 8), (9, 1)]"""
"16.0*h**2 - 98.0*h + 221.0 for k >= 7,18.0*h**2 - 126.0*h + 321.0,6,6,""[(0, 0), (1, 1), (2, 1), (3, 5), (7, 1)]"""
"10.0*h**2 - 24.0*h - 30.0 for k >= 10,12.5*h**2 - 62.5*h + 125.0,5,5,""[(0, 2), (1, 0), (1, 1), (5, 4), (8, 6)]"""
"15.0*h**2 - 84.0*h + 172.0 for k >= 6,18.0*h**2 - 126.0*h + 321.0,6,6,""[(0, 0), (3, 2), (5, 3), (5, 0), (8, 6)]"""
"8.0*h**2 - 15.0*h - 27.0 for k >= 7,12.0*h**2 - 72.0*h + 176.0,3,8,""[(0, 0), (1, 1), (2, 1), (2, 0), (3, 8)]"""
"22.0*h**2 - 278.0*h + 1275.0 for k >= 13,22.5*h**2 - 292.5*h + 1380.0,3,15,""[(0, 0), (3, 2), (5, 3), (2, 6), (9, 5)]"""
"12.0*h**2 - 52.0*h + 82.0 for k >= 7,15.0*h**2 - 90.0*h + 205.0,5,6,""[(0, 0), (1, 0), (1, 1), (0, 4), (6, 0)]"""
"4.0*h**2 + 2.0*h - 9.0 for k >= 4,6.0*h**2 - 12.0*h + 16.0,3,4,""[(0, 0), (0, 1), (1, 0), (0, 6), (0, 8)]"""
